id,name,role_id,joining_date,department,mail,created_at,updated_at,password,profileImage
23df7e47-70a7-4879-b9cb-1c894b99e991,Ryan Trujillo,d19f8030-6ef5-432e-b1b9-e8009da66306,2021-07-10T23:36:00,OTHER,tiffanyescobar@example.net,2021-11-02T14:20:49,2021-02-01T02:48:12,N2Z+AV*x%P,
15681c19-ede5-44d4-a44f-72700bedf04a,Edwin Haynes,f5c722ba-4bd7-4f0f-a3e4-f063d1ba7019,2021-01-30T19:52:51,DATA_ANALYTICS,dawnho@example.org,2021-08-03T04:46:20,2020-03-02T05:10:53,!F47RX4tLs,
641fce88-8266-456a-9244-abe470889099,Jon Shaffer,9fc25131-0673-4987-b082-39ef9abf9610,2022-08-29T21:40:32,DATA_ENGINEERING,jacksonheather@example.com,2023-06-01T22:42:54,2022-04-13T19:50:10,$ijDKlhCj5,
665bcd3d-15f7-4fac-a7b7-143488eae9a1,Andrea Franklin,c0800a17-d587-4186-9ca6-179f051b04ca,2021-06-23T11:36:54,DEVOPS,leslie75@example.com,2024-04-17T08:10:40,2024-06-30T03:01:07,saeK5%IRF(,
6496891e-8499-4906-9ccb-d6c37996e45e,Kelly Harrington,582147f7-42fd-4b8a-951f-41b582e68fe0,2020-04-12T17:14:00,DATA_ENGINEERING,qramos@example.net,2020-10-16T10:52:40,2021-01-11T03:08:17,sL7&U3SgH$,
020ebbbe-5eb0-43fc-928d-c4625e921348,Joseph Walker,b1b0d384-4165-490d-8b2c-d226ca0e0ef5,2021-06-09T05:26:30,DATA_ANALYTICS,jason37@example.net,2023-02-27T02:02:58,2021-03-05T06:08:07,GKS3z3GsG),
757e2f8d-99fc-4b0d-97a7-60f81e75b282,Tony Anderson,15dbf8b2-a5d4-4845-b9a4-6ec18ebf2087,2022-05-05T14:24:26,DATA_ANALYTICS,anthonyclark@example.org,2020-08-28T12:40:22,2022-08-23T08:58:32,@w7H&@jA1H,
721b2e21-2747-4372-905a-26e88710d4bf,Brittany Simpson,ed5e6e49-ad3e-47e3-aa78-3ddf3a524b7d,2020-03-09T21:31:13,ADMIN,sarah91@example.com,2021-03-30T06:59:43,2024-05-01T11:57:39,!$)C(eeV58,
876ee4ba-bb08-489f-b2d8-e19a3ab8b230,Justin Smith,72d059ce-7ad9-4581-94d8-9aebde2db069,2023-11-15T16:52:26,ADMIN,edward30@example.org,2023-07-07T03:16:12,2020-12-16T22:48:43,@1BW(rjYRQ,
d435ad0a-c75f-48e2-a260-cac1326cc2f4,Micheal Kennedy,af4915cb-ed41-4ffc-a590-3dc76867571f,2021-10-23T20:19:15,ADMIN,rebecca60@example.net,2020-12-09T16:19:18,2024-07-05T13:10:32,s$PO#0%rKY,
2b0beec2-6102-4bb9-bc8e-b0eb05ce2a89,Caleb Landry,94f82311-23d3-46c2-836e-5bf4d1b54686,2020-03-30T18:17:41,DATA_ANALYTICS,brian59@example.org,2020-01-25T14:12:18,2020-10-26T06:57:02,6(0Y9Cnf#$,
49bc8eca-1be5-450c-9759-154cf6770f1f,Jill Larson,d88acacb-0cd4-4c97-a813-95651cbffb9e,2022-03-23T10:31:17,OTHER,groach@example.net,2023-10-09T12:20:02,2020-12-15T23:17:58,Kb5!WVLm#(,
d2fa8f67-1aff-4cca-b244-03c93922a868,Albert Taylor,0bd7f589-3aa0-40a8-b735-045fc5025232,2022-09-02T02:26:53,DATA_ENGINEERING,michellestein@example.com,2022-05-02T06:01:20,2022-02-09T00:22:24,q)GzD0oj*8,
34e10217-40a3-4a58-87f2-f4e406c3d253,Susan Brown,5ad4c6c6-0b99-4b0c-9758-6ea3bba412ab,2021-11-03T14:43:38,FULL_STACK,kayla95@example.com,2024-09-09T16:27:36,2020-09-14T04:21:54,QR1Idq&si(,
632a112b-2308-49a0-a6ba-0e9ea284790d,Ms. Karen Lee,3e6b1366-0333-4c88-b876-b12d1d48a327,2024-02-01T16:42:57,ADMIN,qmartin@example.net,2024-05-17T13:02:16,2020-07-01T13:21:06,ju2jJoJv(4,
aa914c3a-54f7-4677-bb38-4773d0861581,Olivia Chandler,0453ceea-7b2c-454d-a5fc-9a885c495046,2024-04-01T21:42:06,OTHER,jeffrey37@example.com,2023-02-24T18:47:29,2020-03-21T01:36:03,1w&9$^dx*W,
ad8ee21a-c2b0-4dc0-aad4-2087751e97b8,Stanley Powell,a94da9fd-fb58-4e30-9f62-d1dca7567fb6,2024-08-09T12:18:38,ADMIN,nicolemartin@example.net,2023-05-24T05:16:29,2023-08-14T14:03:47,xt6JgNjXy@,
7f9c4788-62a6-42d1-ac26-5934356d8b92,Derek Myers,a250810f-34b7-4b84-85e4-6bbae6a6a443,2020-12-21T06:40:28,OTHER,igomez@example.org,2023-12-03T21:03:25,2023-07-16T13:20:07,(!5Qa(yXtE,
34003029-3dc9-4ce7-aac7-50d59b89e3a4,Frank Myers,b78e5e87-df14-4f2f-95c5-14691a64b92f,2022-11-14T22:49:06,ADMIN,erikfisher@example.net,2023-11-18T17:55:54,2021-08-06T07:26:07,_z5zWa9fPJ,
061cf28a-f6f8-4dc6-b952-7567016f20de,Tyler Stokes,4b9da827-09c9-4ee7-b813-14e4fe99ea9e,2022-07-28T05:56:27,FULL_STACK,martindavid@example.net,2021-05-19T19:43:08,2022-01-01T17:10:10,)9HoKqg($o,
6552cf99-0654-4f10-81ee-a536c1360811,Steven Peters,9d935cd5-1e5c-4b8b-81ca-79b1b79cf3b9,2024-03-03T17:38:42,DEVOPS,vgarcia@example.net,2022-12-31T04:26:44,2023-10-28T05:06:23,qF8E*B*y@s,
c663fe02-1b5f-40e9-8b8c-f45f9d970612,Dennis Johnson,8f57a87a-a09b-4aa5-8cd3-b2f33171f1ec,2024-05-02T02:56:38,DEVOPS,deborah64@example.org,2024-06-04T02:28:43,2021-04-02T05:51:01,l$^9Ty1zw(,
63ac9d8b-bf3f-4332-99a9-efc9be0cdcad,Doris Lewis,7b6dc42c-cee4-4bb5-9534-6d979d75e6f5,2021-01-09T18:29:18,DATA_ENGINEERING,owensmelissa@example.com,2024-02-11T20:59:58,2024-05-01T20:44:52,mEwob6Gv@i,
e073dbcf-3fb1-4406-bbed-109daac3e927,Julie Duarte,c98e9653-f27f-4be9-8bc1-ecd36cbb442c,2020-11-15T05:18:59,DEVOPS,allenjohn@example.org,2024-09-14T10:01:47,2022-10-13T10:43:14,a2zAAFo@@E,
48cc8e26-66f3-426b-a70b-f419649e55f3,Michael Garcia,c98cbb48-9382-4d94-ab2b-e7bc3dc3369f,2022-11-09T14:53:50,ADMIN,huntergrant@example.org,2024-06-19T19:25:29,2023-02-08T02:56:51,&51YWPyv)C,
ed31576e-7f64-4ae6-a730-b317d801b1e0,Holly Fowler,ce4933a3-0ed9-48b2-9adb-13dfbbe68895,2020-08-25T00:55:10,DATA_ANALYTICS,cruzjacob@example.com,2024-07-25T17:55:53,2024-07-28T20:12:08,Ss*1HWNz(d,
66e96bb2-31a0-454f-82d7-a36840fb5c9a,Margaret Bryant,0018945d-dcb7-4e31-af53-45b7c0036533,2020-04-23T14:56:41,OTHER,jameswood@example.com,2021-07-09T00:20:19,2023-01-07T18:03:27,)BB$hZfVe0,
